time,power
6:00:00,     0.000
6:00:03,     0.000
6:00:06,     0.000
6:00:09,     0.000
6:00:13,     0.000
6:00:16,     0.000
6:00:19,     0.000
6:00:22,     0.000
6:00:25,     0.000
6:00:28,     0.000
6:00:31,     0.000
6:00:34,     0.000
6:00:37,     0.000
6:00:40,     0.000
6:00:43,     0.000
6:00:46,     0.000
6:00:49,     0.000
6:00:52,     0.000
6:00:56,     0.000
6:00:59,     0.000
6:01:02,     0.000
6:01:05,     0.000
6:01:08,     0.000
6:01:11,     0.000
6:01:14,     0.000
6:01:17,     0.000
6:01:20,     0.000
6:01:23,     0.000
6:01:26,     0.000
6:01:29,     0.000
6:01:32,     0.000
6:01:36,     0.000
6:01:39,     0.000
6:01:42,     0.000
6:01:45,     0.000
6:01:48,     0.000
6:01:51,     0.000
6:01:54,     0.000
6:01:57,     0.000
6:02:00,     0.000
6:02:03,     0.000
6:02:06,     0.000
6:02:09,     0.000
6:02:12,     0.000
6:02:15,     0.000
6:02:18,     0.000
6:02:22,     0.000
6:02:25,     0.000
6:02:28,     0.000
6:02:31,     0.000
6:02:34,     0.000
6:02:37,     0.000
6:02:40,     0.000
6:02:43,     0.000
6:02:46,     0.000
6:02:49,     0.000
6:02:52,     0.000
6:02:55,     0.000
6:02:58,     0.000
6:03:01,     0.000
6:03:05,     0.000
6:03:08,     0.000
6:03:11,     0.000
6:03:14,     0.000
6:03:17,     0.000
6:03:20,     0.000
6:03:23,     0.000
6:03:26,     0.000
6:03:29,     0.000
6:03:32,     0.000
6:03:35,     0.000
6:03:38,     0.000
6:03:41,     0.000
6:03:44,     0.000
6:03:48,     0.000
6:03:51,     0.000
6:03:54,     0.000
6:03:57,     0.000
6:04:00,     0.000
6:04:03,     0.000
6:04:06,     0.000
6:04:09,     0.000
6:04:12,     0.000
6:04:15,     0.000
6:04:18,     0.000
6:04:21,     0.000
6:04:24,     0.000
6:04:27,     0.000
6:04:31,     0.000
6:04:34,     0.000
6:04:37,     0.000
6:04:40,     0.000
6:04:43,     0.000
6:04:46,     0.000
6:04:49,     0.000
6:04:52,     0.000
6:04:55,     0.000
6:04:58,     0.000
6:05:01,     0.000
6:05:04,     0.000
6:05:07,     0.000
6:05:10,     0.000
6:05:14,     0.000
6:05:17,     0.000
6:05:20,     0.000
6:05:23,     0.000
6:05:26,     0.000
6:05:29,     0.000
6:05:32,     0.000
6:05:35,     0.000
6:05:38,     0.000
6:05:41,     0.000
6:05:44,     0.000
6:05:47,     0.000
6:05:50,     0.000
6:05:53,     0.000
6:05:57,     0.000
6:06:00,     0.000
6:06:03,     0.000
6:06:06,     0.000
6:06:09,     0.000
6:06:12,     0.000
6:06:15,     0.000
6:06:18,     0.000
6:06:21,     0.000
