time,power
6:00:01,     0.000
6:00:04,     0.000
6:00:07,     0.000
6:00:10,     0.000
6:00:13,     0.000
6:00:16,     0.000
6:00:19,     0.000
6:00:22,     0.000
6:00:25,     0.000
6:00:29,     0.000
6:00:32,     0.000
6:00:35,     0.000
6:00:38,     0.000
6:00:41,     0.000
6:00:44,     0.000
6:00:47,     0.000
6:00:50,     0.000
6:00:53,     0.000
6:00:56,     0.000
6:00:59,     0.000
6:01:02,     0.000
6:01:06,     0.000
6:01:09,     0.000
6:01:12,     0.000
6:01:15,     0.000
6:01:18,     0.000
6:01:21,     0.000
6:01:24,     0.000
6:01:27,     0.000
6:01:30,     0.000
6:01:33,     0.000
6:01:36,     0.000
6:01:39,     0.000
6:01:42,     0.000
6:01:46,     0.000
6:01:49,     0.000
6:01:52,     0.000
6:01:55,     0.000
6:01:58,     0.000
6:02:01,     0.000
6:02:04,     0.000
6:02:07,     0.000
6:02:10,     0.000
6:02:13,     0.000
6:02:16,     0.000
6:02:19,     0.000
6:02:23,     0.000
6:02:26,     0.000
6:02:29,     0.000
6:02:32,     0.000
6:02:35,     0.000
6:02:38,     0.000
6:02:41,     0.000
6:02:44,     0.000
6:02:47,     0.000
6:02:50,     0.000
6:02:53,     0.000
6:02:56,     0.000
6:03:00,     0.000
6:03:03,     0.000
6:03:06,     0.000
6:03:09,     0.000
6:03:12,     0.000
6:03:15,     0.000
6:03:18,     0.000
6:03:21,     0.000
6:03:24,     0.000
6:03:27,     0.000
6:03:30,     0.000
6:03:33,     0.000
6:03:37,     0.000
6:03:40,     0.000
6:03:43,     0.000
6:03:46,     0.000
6:03:49,     0.000
6:03:52,     0.000
6:03:55,     0.000
6:03:58,     0.000
6:04:01,     0.000
6:04:04,     0.000
6:04:07,     0.000
6:04:10,     0.000
6:04:14,     0.000
6:04:17,     0.000
6:04:20,     0.000
6:04:23,     0.000
6:04:26,     0.000
6:04:29,     0.000
6:04:32,     0.000
6:04:35,     0.000
6:04:38,     0.000
6:04:41,     0.000
6:04:44,     0.000
6:04:47,     0.000
6:04:51,     0.000
6:04:54,     0.000
6:04:57,     0.000
6:05:00,     0.000
6:05:03,     0.000
6:05:06,     0.000
6:05:09,     0.000
6:05:12,     0.000
6:05:15,     0.000
6:05:18,     0.000
6:05:21,     0.000
6:05:24,     0.000
6:05:28,     0.000
6:05:31,     0.000
6:05:34,     0.000
6:05:37,     0.000
6:05:40,     0.000
6:05:43,     0.000
6:05:46,     0.000
6:05:49,     0.000
6:05:52,     0.000
6:05:55,     0.000
6:05:58,     0.000
6:06:01,     0.000
6:06:04,     0.000
6:06:08,     0.000
6:06:11,     0.000
6:06:14,     0.000
6:06:17,     0.000
6:06:20,     0.000
6:06:23,     0.000
6:06:26,     0.000
6:06:29,     0.000
6:06:32,     0.000
6:06:35,     0.000
6:06:38,     0.000
6:06:41,     0.000
6:06:45,     0.000
6:06:48,     0.000
6:06:51,     0.000
6:06:54,     0.000
6:06:57,     0.000
6:07:00,     0.000
6:07:03,     0.000
6:07:06,     0.000
6:07:09,     0.000
6:07:12,     0.000
6:07:15,     0.000
6:07:18,     0.000
6:07:22,     0.000
6:07:25,     0.000
6:07:28,     0.000
6:07:31,     0.000
6:07:34,     0.000
6:07:37,     0.000
6:07:40,     0.000
6:07:43,     0.000
6:07:46,     0.000
6:07:49,     0.000
6:07:52,     0.000
6:07:55,     0.000
6:07:59,     0.000
6:08:02,     0.000
6:08:05,     0.000
6:08:08,     0.000
6:08:11,     0.000
6:08:14,     0.000
6:08:17,     0.000
6:08:20,     0.000
6:08:23,     0.000
6:08:26,     0.000
6:08:30,     0.000
